+---+----------+----------+--------+--------+
|Day|  Plant   | Harvest  |Expenses| Income |
+---+----------+----------+--------+--------+
|  1|EGBCTNUHA |          |  10701G|      0G|
|  3|          |H         |      0G|  23166G|
|  4|C         |CH        |     84G|  45324G|
|  5|          |H         |      0G|  23166G|
|  6|          |H         |      0G|  23166G|
|  7|C         |CH        |     84G|  45324G|
|  8|B         |BH        |   3618G|  28512G|
|  9|          |H         |      0G|  23166G|
| 10|C         |CH        |     84G|  45324G|
| 11|          |H         |      0G|  23166G|
| 12|          |H         |      0G|  23166G|
| 13|EC        |ECH       |    153G|  46161G|
| 14|          |GH        |      0G|  35082G|
| 15|B         |BH        |   3618G|  28512G|
| 16|C         |CH        |     84G|  45324G|
| 17|          |H         |      0G|  23166G|
| 18|          |H         |      0G|  23166G|
| 19|C         |CH        |     84G|  45324G|
| 20|          |H         |      0G|  23166G|
| 21|          |H         |      0G|  23166G|
| 22|BC        |BCH       |   3702G|  50670G|
| 23|          |TH        |      0G|  23463G|
| 24|          |H         |      0G|  23166G|
| 25|EC        |ECH       |    153G|  46161G|
| 26|          |H         |      0G|  23166G|
| 27|          |TH        |      0G|  23463G|
| 28|C         |CH        |     84G|  45324G|
| 29|B         |BH        |   3618G|  28512G|
| 30|          |H         |      0G|  23166G|
| 31|C         |CTH       |     84G|  45621G|
| 32|          |H         |      0G|  23166G|
| 33|          |UH        |      0G|  23940G|
| 34|C         |CH        |     84G|  45324G|
| 35|          |TNHA      |      0G|  23913G|
| 36|B         |BUH       |   3618G|  29286G|
| 37|EC        |ECH       |    153G|  46161G|
| 38|          |H         |      0G|  23166G|
| 39|          |TUH       |      0G|  24237G|
| 40|C         |CH        |     84G|  45324G|
| 41|          |H         |      0G|  23166G|
| 42|          |UH        |      0G|  23940G|
| 43|BC        |BCTH      |   3702G|  50967G|
| 44|          |GH        |      0G|  35082G|
| 45|          |UH        |      0G|  23940G|
| 46|C         |CH        |     84G|  45324G|
| 47|          |TH        |      0G|  23463G|
| 48|          |UH        |      0G|  23940G|
| 49|          |ECH       |      0G|  46161G|
| 50|          |BH        |      0G|  28512G|
+---+----------+----------+--------+--------+
|ALL|          |          |  33876G|1538271G|
+---+----------+----------+--------+--------+
Ali will make 1504395G.
